Symbol,Name,Category,Exchange,Provider,AssetClass,Frequency,Priority,Active,Remarks
NIFTY50,Nifty 50,Broad Market,NSE,NSE,Equity,Daily,1,True,Benchmark
NIFTYNEXT50,Nifty Next 50,Broad Market,NSE,NSE,Equity,Daily,2,True,
NIFTY100,Nifty 100,Broad Market,NSE,NSE,Equity,Daily,3,True,
NIFTY200,Nifty 200,Broad Market,NSE,NSE,Equity,Daily,4,True,
NIFTY500,Nifty 500,Broad Market,NSE,NSE,Equity,Daily,5,True,
NIFTYTOTALMARKET,Nifty Total Market,Broad Market,NSE,NSE,Equity,Daily,7,True,
NIFTYMIDCAP50,Nifty Midcap 50,Broad Market,NSE,NSE,Equity,Daily,8,True,
NIFTYMIDCAP100,Nifty Midcap 100,Broad Market,NSE,NSE,Equity,Daily,9,True,
NIFTYMIDCAP150,Nifty Midcap 150,Broad Market,NSE,NSE,Equity,Daily,10,True,
NIFTYSMALLCAP50,Nifty Smallcap 50,Broad Market,NSE,NSE,Equity,Daily,11,True,
NIFTYSMALLCAP250,Nifty Smallcap 250,Broad Market,NSE,NSE,Equity,Daily,13,True,
